Matinee	1371571200	1371582000
Matinee	1371657600	1371668400
Matinee	1371744000	1371754800
Nighttime	1371767400	1371778200
Late Afternoon	1371841200	1371852000
Late Afternoon	1371927600	1371938400
Matinee	1372003200	1372014000
Nighttime	1372026600	1372037400
Matinee	1372176000	1372186800
Nighttime	1372199400	1372210200
Matinee	1372262400	1372273200
Matinee	1372348800	1372359600
Nighttime	1372372200	1372383000
Nighttime	1372458600	1372469400
Matinee	1372608000	1372618800
Nighttime	1372631400	1372642200
Matinee	1372780800	1372791600
Late Afternoon	1372878000	1372888800
Late Afternoon	1372964400	1372975200
Nighttime	1373063400	1373074200
Late Afternoon	1373137200	1373148000
Matinee	1373212800	1373223600
Nighttime	1373236200	1373247000
Matinee	1373385600	1373396400
Matinee	1373472000	1373482800
Late Afternoon	1373569200	1373580000
Nighttime	1373668200	1373679000
Late Afternoon	1373742000	1373752800
Matinee	1373817600	1373828400
Nighttime	1373841000	1373851800
Matinee	1373990400	1374001200
Nighttime	1374013800	1374024600
Late Afternoon	1374087600	1374098400
Late Afternoon	1374174000	1374184800
Nighttime	1374273000	1374283800
Late Afternoon	1374346800	1374357600
Matinee	1374422400	1374433200
Nighttime	1374445800	1374456600
Matinee	1374595200	1374606000
Nighttime	1374618600	1374629400
Matinee	1374681600	1374692400
Late Afternoon	1374778800	1374789600
Nighttime	1374877800	1374888600
Late Afternoon	1374951600	1374962400
Matinee	1375027200	1375038000
Nighttime	1375050600	1375061400
Matinee	1375200000	1375210800
Nighttime	1375223400	1375234200
Late Afternoon	1375297200	1375308000
Late Afternoon	1375372800	1375383600
Late Afternoon	1375545600	1375556400
Nighttime	1375569000	1375579800
Matinee	1375632000	1375642800
Nighttime	1375655400	1375666200
Matinee	1375804800	1375815600
Nighttime	1375828200	1375839000
Matinee	1375891200	1375902000
Late Afternoon	1375988400	1375999200
Nighttime	1376087400	1376098200
Matinee	1376150400	1376161200
Nighttime	1376173800	1376184600
Matinee	1376236800	1376247600
Nighttime	1376260200	1376271000
Matinee	1376409600	1376420400
Nighttime	1376433000	1376443800
Late Afternoon	1376506800	1376517600
Late Afternoon	1376593200	1376604000
Nighttime	1376692200	1376703000
Late Afternoon	1376766000	1376776800
Matinee	1376841600	1376852400
Nighttime	1376865000	1376875800
Matinee	1377014400	1377025200
Nighttime	1377037800	1377048600
Matinee	1377100800	1377111600
Matinee	1377187200	1377198000
Nighttime	1377297000	1377307800
Matinee	1377360000	1377370800
Matinee	1377446400	1377457200
Nighttime	1377469800	1377480600
Matinee	1377619200	1377630000
Nighttime	1377642600	1377653400
Matinee	1377705600	1377716400
Late Afternoon	1377802800	1377813600
Nighttime	1377901800	1377912600
Late Afternoon	1377975600	1377986400
Matinee	1378051200	1378062000
Nighttime	1378074600	1378085400
Matinee	1378224000	1378234800
Nighttime	1378247400	1378258200
Matinee	1378310400	1378321200
Late Afternoon	1378407600	1378418400
Nighttime	1378506600	1378517400
Late Afternoon	1378580400	1378591200
Matinee	1378656000	1378666800
Nighttime	1378679400	1378690200
Matinee	1378828800	1378839600
Nighttime	1378852200	1378863000
Matinee	1378915200	1378926000
Late Afternoon	1379012400	1379023200
Matinee	1379088000	1379098800
Late Afternoon	1379185200	1379196000
Matinee	1379260800	1379271600
Nighttime	1379284200	1379295000
Matinee	1379433600	1379444400
Nighttime	1379457000	1379467800
Matinee	1379520000	1379530800
Late Afternoon	1379617200	1379628000
Matinee	1379692800	1379703600
Matinee	1379779200	1379790000
Matinee	1379865600	1379876400
Nighttime	1379889000	1379899800
Matinee	1380038400	1380049200
Nighttime	1380061800	1380072600
Matinee	1380124800	1380135600
Late Afternoon	1380222000	1380232800
Matinee	1380297600	1380308400
Matinee	1380384000	1380394800
Matinee	1380470400	1380481200
Nighttime	1380493800	1380504600
Matinee	1380643200	1380654000
Nighttime	1380666600	1380677400
Matinee	1380729600	1380740400
Matinee	1380816000	1380826800
Nighttime	1380925800	1380936600
Matinee	1380988800	1380999600
Matinee	1381075200	1381086000
Nighttime	1381098600	1381109400
Matinee	1381248000	1381258800
Nighttime	1381271400	1381282200
Matinee	1381334400	1381345200
Matinee	1381420800	1381431600
Matinee	1381507200	1381518000
Late Afternoon	1381604400	1381615200
Late Afternoon	1381690800	1381701600
		
